"Identifiant action de formation";"Enseignements optionnels et langues de classe de 2nde GT";"Identifiant et fiche onisep lieu de cours";"UAI lieu de cours";"Libellé lieu de cours";"Adresse lieu de cours";"Boîte postale lieu de cours";"Code postal lieu de cours";"Commune lieu de cours";"Département lieu de cours";"Région lieu de cours";"Académie lieu de cours";"AF date création";"AF date de modification"
AF.76605;"Écologie, agronomie, territoires, développement durable / Éducation physique et sportive / Hippologie et équitation / Pratiques physiques et sportives / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10870;0450094H;"Lycée d'enseignement général et technologique agricole le Chesnoy";"2190 avenue d'Antibes";;45200;Amilly;Loiret;"Centre-Val de Loire";Orléans-Tours;06/06/2020;18/12/2024
AF.82511;"Arts : cinéma-audiovisuel / Arts : musique / Arts : théâtre / Éducation physique et sportive / Italien / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2687;0030036Y;"Lycée général Théodore de Banville";"12 cours Vincent d'Indy";"BP 1705";3017;Moulins;Allier;Auvergne-Rhône-Alpes;Clermont-Ferrand;06/06/2020;30/10/2020
AF.19352;"Arts : danse / Arts : théâtre / Espagnol / Langues et cultures de l'Antiquité : latin / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11025;0540058V;"Lycée Jacques Marquette";"Place Foch";;54700;Pont-à-Mousson;Meurthe-et-Moselle;"Grand Est";Nancy-Metz;06/06/2020;19/02/2026
AF.2188;"Écologie, agronomie, territoires, développement durable / Hippologie et équitation / Pratiques physiques et sportives / Pratiques professionnelles / LV1 : anglais / LV2 : espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15120;0623786D;"Maison familiale rurale de Rollancourt";"1 rue du Moulin";;62770;Rollancourt;Pas-de-Calais;Hauts-de-France;Lille;06/06/2020;05/05/2023
AF.43975;"Arts : théâtre / Création et innovation technologiques / Éducation physique et sportive / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences de l'ingénieur / LV1 : allemand, anglais / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16878;0220027K;"Lycée polyvalent Fulgence Bienvenüe";"Rue Eon de l'Etoile";"BP 601";22606;Loudéac;Côtes-d'Armor;Bretagne;Rennes;06/06/2020;14/04/2022
AF.27724;"Écologie, agronomie, territoires, développement durable / Pratiques physiques et sportives / Pratiques sociales et culturelles / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6216;0492259P;"MFR Le Cèdre à Saint-Barthélémy-d'Anjou";"10 rue des Claveries, Le Cèdre";;49124;Saint-Barthélémy-d'Anjou;Maine-et-Loire;"Pays de la Loire";Nantes;06/06/2020;16/02/2024
AF.19463;"Éducation physique et sportive / Management et gestion / LV1 : anglais, allemand / LV2 : anglais, allemand, espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2101;0711729U;"Lycée polyvalent Émiland Gauthey";"23 place du Collège";;71321;Chalon-sur-Saône;Saône-et-Loire;Bourgogne-Franche-Comté;Dijon;06/06/2020;24/02/2021
AF.2131;"Arts : arts plastiques / Éducation physique et sportive / Langues et cultures de l'Antiquité : latin / Sciences et laboratoire / LV1 : anglais / LV2 : espagnol, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15781;0360693H;"Lycée privé polyvalent Sainte-Solange";"59 rue de la Gare";;36028;Châteauroux;Indre;"Centre-Val de Loire";Orléans-Tours;06/06/2020;20/03/2024
AF.76634;"Écologie, agronomie, territoires, développement durable / Hippologie et équitation / Pratiques physiques et sportives / Pratiques professionnelles / LV1 : anglais / LV2 : espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7741;0120867C;"Lycée agricole privé François Marty";"348 chemin du Mas de Castanié";;12200;Monteils;Aveyron;Occitanie;Toulouse;06/06/2020;29/06/2023
AF.76604;"Sciences et laboratoire / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6587;0441993C;"Lycée Carcouet";"115 boulevard du Massacre";;44100;Nantes;Loire-Atlantique;"Pays de la Loire";Nantes;06/06/2020;10/02/2025
AF.19489;"Arts : cinéma-audiovisuel / Création et innovation technologiques / Éducation physique et sportive / Italien / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences et laboratoire / LV1 : anglais / LV2 : espagnol, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13485;0720021G;"Lycée polyvalent d'Estournelles de Constant";"Boulevard du Québec";"BP 90155";72205;"La Flèche";Sarthe;"Pays de la Loire";Nantes;06/06/2020;10/02/2025
AF.7843;"Arts : histoire des arts / Atelier artistique / Création et innovation technologiques / Éducation physique et sportive / Santé et social / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15777;0280044W;"Lycée polyvalent Jehan de Beauce";"20 rue du Commandant Chesne";;28000;Chartres;Eure-et-Loir;"Centre-Val de Loire";Orléans-Tours;06/06/2020;19/03/2024
AF.76627;"Allemand / Arts : arts plastiques / Éducation physique et sportive / Management et gestion / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8230;0260023J;"Lycée polyvalent du Dauphiné";"38 boulevard Rémy Roure";"BP 1113";26103;Romans-sur-Isère;Drôme;Auvergne-Rhône-Alpes;Grenoble;06/06/2020;01/12/2021
AF.31112;"Arts : musique / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, russe";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10495;0750652B;"Lycée Charlemagne";"14 rue Charlemagne";;75004;Paris;Paris;Ile-de-France;Paris;06/06/2020;06/03/2026
AF.22032;"Arts : théâtre / Italien / Langues et cultures de l'Antiquité : latin / LV1 : allemand, anglais / LV2 : allemand, anglais, espagnol, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16954;0350801F;"Lycée Jean-Paul II";"2 rue Antoine de Saint-Exupéry";"BP 96214";35762;Saint-Grégoire;Ille-et-Vilaine;Bretagne;Rennes;06/06/2020;14/04/2022
AF.82492;"Arts : théâtre / Biotechnologies / Création et innovation technologiques / Italien / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11606;0782587N;"Lycée Viollet le Duc";"1 route de Septeuil";;78640;Villiers-Saint-Frédéric;Yvelines;Ile-de-France;Versailles;06/06/2020;06/06/2020
AF.7970;"Arts : arts plastiques / Arts : danse / Chinois / Langues et cultures de l'Antiquité : latin / LV1 : anglais, allemand, espagnol / LV2 : espagnol, anglais, allemand, chinois";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4862;0340881Y;"Lycée privé Notre-Dame de la Merci";"62 cours Gambetta";;34965;Montpellier;Hérault;Occitanie;Montpellier;06/06/2020;15/11/2023
AF.2200;"Arts : arts plastiques / Arts : théâtre / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6655;0340023R;"Lycée René Gosse";"2 rue Victor Hugo";"BP 96";34800;Clermont-l'Hérault;Hérault;Occitanie;Montpellier;06/06/2020;05/11/2025
AF.59533;"Arts : musique / Arts : théâtre / Espagnol / Langues et cultures de l'Antiquité : latin / Management et gestion / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, chinois";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8407;0783351U;"Lycée Notre-Dame du Grandchamp";"97 rue Royale";;78000;Versailles;Yvelines;Ile-de-France;Versailles;06/06/2020;06/06/2020
AF.42218;"Arts : théâtre / Langues et cultures de l'Antiquité : latin / Management et gestion / Russe / Santé et social / LV1 : anglais / LV2 : allemand, espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7006;0220099N;"Lycée Saint-Joseph";"63 rue de Mouëxigné";"BP 90465";22404;Lamballe-Armor;Côtes-d'Armor;Bretagne;Rennes;06/06/2020;15/03/2021
AF.30984;"Langues et cultures de l'Antiquité : latin / Management et gestion / Portugais / Sciences et laboratoire / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16286;0332724G;"Lycée Nord Bassin Simone Veil";"128 avenue de Bordeaux";;33510;Andernos-les-Bains;Gironde;Nouvelle-Aquitaine;Bordeaux;06/06/2020;06/06/2020
AF.76662;"Arts : arts plastiques / Arts : musique / Arts : théâtre / Création et innovation technologiques / Espagnol / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16117;0680066C;"Lycée polyvalent Jean Mermoz";"53 rue du docteur Marcel Hurst";;68300;Saint-Louis;Haut-Rhin;"Grand Est";Strasbourg;06/06/2020;13/07/2023
AF.23209;"Biotechnologies / Santé et social / LV1 : anglais / LV2 : espagnol, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10698;0830059N;"Lycée professionnel du Parc Saint-Jean";"Place du 4 Septembre";;83100;Toulon;Var;"Provence-Alpes-Côte d'Azur";Nice;06/06/2020;06/06/2020
AF.30945;"Allemand / Arts : arts plastiques / Langues et cultures de l'Antiquité : latin / Management et gestion / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7518;0911962N;"Lycée Marie Laurencin";"51 rue Paul Cézanne";"BP 56";91542;Mennecy;Essonne;Ile-de-France;Versailles;06/06/2020;06/06/2020
AF.70919;"Création et innovation technologiques / Santé et social / Sciences de l'ingénieur / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, turc, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18857;0671832C;"Lycée polyvalent Jean Baptiste Schwilgué";"8 avenue Adrien Zeller";"BP 70209";67604;Sélestat;Bas-Rhin;"Grand Est";Strasbourg;06/06/2020;06/06/2020
AF.47954;"Allemand / Arts : arts plastiques / Arts : musique / Biotechnologies / Création et innovation technologiques / Éducation physique et sportive / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Management et gestion / Santé et social / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4586;9740002J;"Lycée polyvalent Roland Garros";"Rue Roland Garros";"CS 11008";97831;"Le Tampon";"La Réunion";"La Réunion";"La Réunion";06/06/2020;06/06/2020
AF.19324;"Arts : théâtre / Biotechnologies / Italien / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Management et gestion / Santé et social / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.964;0911251R;"Lycée Parc des Loges";"Boulevard des Champs-Élysées";;91012;Evry-Courcouronnes;Essonne;Ile-de-France;Versailles;06/06/2020;06/06/2020
AF.78671;"Management et gestion / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14969;0771125E;"Centre médical et pédagogique pour adolescents de Neufmoutiers";"19 rue du Docteur Lardanchet";;77610;Neufmoutiers-en-Brie;Seine-et-Marne;Ile-de-France;Créteil;06/06/2020;06/06/2020
AF.15352;"Arts : arts plastiques / Arts : cinéma-audiovisuel / Création et innovation technologiques / Italien / Russe / Langues et cultures de l'Antiquité : latin / LV1 : allemand, anglais / LV2 : allemand, anglais, espagnol, italien, russe";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7009;0350776D;"Lycée polyvalent Saint-Vincent Providence";"57 rue de Paris";"CS 46430";35064;Rennes;Ille-et-Vilaine;Bretagne;Rennes;06/06/2020;14/04/2022
AF.90411;"Arts : théâtre / Langues et cultures de l'Antiquité : latin / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, arabe, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12868;0692717D;"Lycée polyvalent Jacques Brel";"2 rue Albert Jacquard";;69200;Vénissieux;Rhône;Auvergne-Rhône-Alpes;Lyon;06/06/2020;06/06/2020
AF.70878;"Éducation physique et sportive / LV1 : espagnol, anglais / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15509;0640127R;"Lycée privé Jeanne d'Arc";"47 rue Moncade";;64300;Orthez;Pyrénées-Atlantiques;Nouvelle-Aquitaine;Bordeaux;06/06/2020;06/06/2020
AF.2169;"Arts : arts plastiques / Éducation physique et sportive / Italien / Management et gestion / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4373;0541309E;"Lycée des Récollets";"44 rue du Général Pershing";;54400;Longwy;Meurthe-et-Moselle;"Grand Est";Nancy-Metz;06/06/2020;06/06/2020
AF.84288;"Allemand / Occitan / Création et innovation technologiques / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : espagnol, anglais / LV2 : anglais, espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8275;0310017A;"Lycée polyvalent Paul Mathou";"29 avenue de Luchon";;31210;Gourdan-Polignan;Haute-Garonne;Occitanie;Toulouse;06/06/2020;09/12/2025
AF.88260;"Écologie, agronomie, territoires, développement durable / Hippologie et équitation / Pratiques physiques et sportives / Pratiques professionnelles / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13185;0221033D;"Lycée La Ville Davy";"51 rue de la Corderie";;22120;Quessoy;Côtes-d'Armor;Bretagne;Rennes;06/06/2020;05/05/2023
AF.79650;"Espagnol / Langues et cultures de l'Antiquité : latin / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17029;0673083M;"Lycée privé Sainte-Anne";"128 route du polygone";;67100;Strasbourg;Bas-Rhin;"Grand Est";Strasbourg;06/06/2020;06/06/2020
AF.18610;"Arts : arts plastiques / Sciences et laboratoire / LV1 : anglais / LV2 : espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14647;9710035L;"Collège Mireille Choisy";Gustavia;"BP 58";97098;Saint-Barthélemy;Guadeloupe;Guadeloupe;Guadeloupe;06/06/2020;06/06/2020
AF.4244;"Écologie, agronomie, territoires, développement durable / Hippologie et équitation / Sciences et laboratoire / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5665;0530081A;"Agricampus de Laval";"321 route de Saint-Nazaire";"CS 81319";53013;Laval;Mayenne;"Pays de la Loire";Nantes;06/06/2020;16/02/2024
AF.71042;"Création et innovation technologiques / Management et gestion / Sciences de l'ingénieur / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, chinois";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4421;0922653J;"Lycée polyvalent La Salle - Saint-Nicolas (Lycée des métiers)";"19 rue Victor Hugo";;92130;Issy-les-Moulineaux;Hauts-de-Seine;Ile-de-France;Versailles;06/06/2020;06/06/2020
AF.4431;"Création et innovation technologiques / Management et gestion / Sciences de l'ingénieur / LV1 : anglais / LV2 : espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9987;0932117W;"Lycée polyvalent Lucie Aubrac";"51 rue Victor Hugo";;93500;Pantin;Seine-Saint-Denis;Ile-de-France;Créteil;06/06/2020;06/06/2020
AF.2066;"Arts : arts plastiques / Arts : danse / Arts : théâtre / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Management et gestion / Russe / LV1 : espagnol, anglais / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1243;0830050D;"Lycée Beaussier";"Place Galilée";"BP 50328";83512;"La Seyne-sur-Mer";Var;"Provence-Alpes-Côte d'Azur";Nice;06/06/2020;12/02/2026
AF.36687;"Arts : théâtre / Biotechnologies / Chinois / Éducation physique et sportive / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, chinois";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1502;0772120L;"Lycée Jean Moulin";"6-8 avenue Jean Moulin";"BP 116";77200;Torcy;Seine-et-Marne;Ile-de-France;Créteil;06/06/2020;20/02/2025
AF.82400;"Arts : théâtre / Éducation physique et sportive / Espagnol / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14012;0260066F;"Lycée général privé Saint-Maurice";"3 rue Georges Bernard";"CS 51007";26106;Romans-sur-Isère;Drôme;Auvergne-Rhône-Alpes;Grenoble;06/06/2020;01/12/2021
AF.72893;"Italien / Langues et cultures de l'Antiquité : latin / LV1 : anglais / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16178;0941974K;"Lycée polyvalent Robert Schuman";"2 rue de l'Embarcadère";;94220;Charenton-le-Pont;Val-de-Marne;Ile-de-France;Créteil;06/06/2020;20/02/2026
AF.2140;"Arts : histoire des arts / Arts : musique / Espagnol / Russe / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences et laboratoire / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, russe";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9188;0910626L;"Lycée Blaise Pascal";"18 rue Alexander Fleming";"BP 55";91401;Orsay;Essonne;Ile-de-France;Versailles;06/06/2020;06/06/2020
AF.82329;"Écologie, agronomie, territoires, développement durable / Éducation physique et sportive / Hippologie et équitation / Pratiques physiques et sportives / Pratiques sociales et culturelles / LV1 : espagnol, anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17104;0211135V;"Lycée d'enseignement général, technologique et professionnel agricole de Quetigny Olivier de Serres";"21 boulevard Olivier de Serres";"BP 42";21801;Quetigny;Côte-d'Or;Bourgogne-Franche-Comté;Dijon;06/06/2020;18/12/2024
AF.71057;"Écologie, agronomie, territoires, développement durable / Pratiques physiques et sportives / LV1 : anglais / LV2 : allemand, espagnol, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12637;0630984C;"LEGTA Louis Pasteur";"Site de Marmilhat";"BP 116";63370;Lempdes;Puy-de-Dôme;Auvergne-Rhône-Alpes;Clermont-Ferrand;06/06/2020;30/08/2023
AF.8062;"Arts : musique / Éducation physique et sportive / Langues et cultures de l'Antiquité : latin / Management et gestion / LV1 : anglais / LV2 : allemand, espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13267;0720012X;"Lycée Racan";"9 avenue du Mans, Château-du-Loir";"BP 80165";72500;Montval-sur-Loir;Sarthe;"Pays de la Loire";Nantes;06/06/2020;25/02/2022
AF.81434;"Arts : arts plastiques / Management et gestion / LV1 : anglais / LV2 : espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6642;9840161C;"Collège - Lycée du Sacré-Coeur de Taravao";"Taiarapu Est";"BP 7001";98719;Taiarapu-Est;"Polynésie française";"Collectivités d'outre-mer";"Collectivités d'Outre Mer";06/06/2020;06/06/2020
AF.70900;"Écologie, agronomie, territoires, développement durable / Hippologie et équitation / LV1 : anglais / LV2 : espagnol, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13002;0421090G;"Lycée agricole Étienne Gautier - Ressins";"1946 route de Villers, RD 13";;42720;Nandax;Loire;Auvergne-Rhône-Alpes;Lyon;06/06/2020;05/05/2023
AF.30932;"Arts : musique / Éducation physique et sportive / Langues et cultures de l'Antiquité : latin / Management et gestion / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10339;0500116E;"Lycée Jean-Paul II";"60 rue d'Ilkley";;50200;Coutances;Manche;Normandie;Normandie;06/06/2020;06/06/2020
AF.36643;"Arabe / Italien / Biotechnologies / Langue des signes française / Management et gestion / Santé et social / LV1 : anglais / LV2 : espagnol, allemand, arabe";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2742;0951811C;"Lycée Fernand et Nadia Léger";"7 allée Fernand Léger";;95100;Argenteuil;Val-d'Oise;Ile-de-France;Versailles;06/06/2020;13/05/2025
AF.35571;"LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2360;0922801V;"Lycée Simone Veil";"6 place Jules Guesde";;92100;Boulogne-Billancourt;Hauts-de-Seine;Ile-de-France;Versailles;06/06/2020;06/06/2020
AF.88501;"Arts : cinéma-audiovisuel / Création et culture-design / Éducation physique et sportive / LV1 : espagnol, anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3385;0311323V;"Lycée général et technologique Joséphine Baker";"85 avenue Jean Baylet";;31081;Toulouse;Haute-Garonne;Occitanie;Toulouse;06/06/2020;14/01/2025
AF.123764;"LV1 : anglais / LV2 : espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24020;0333368G;"Lycée privé Edgar Morin";"87 quai de Queyries, Ecosystème Darwin";;33100;Bordeaux;Gironde;Nouvelle-Aquitaine;Bordeaux;26/09/2023;21/11/2024
AF.28516;"Arts : histoire des arts / Création et innovation technologiques / Langues et cultures de l'Antiquité : latin / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16525;0772751X;"Lycée polyvalent Charlotte Delbo";"2 avenue Robert Badinter";;77230;Dammartin-en-Goële;Seine-et-Marne;Ile-de-France;Créteil;06/06/2020;20/02/2025
AF.36639;"Arts : théâtre / Biotechnologies / Éducation physique et sportive / Langue des signes française / Management et gestion / Sciences et laboratoire / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3237;0850079Z;"Lycée Notre-Dame de la Tourtelière";"Rue Buffon";"BP 20339";85703;Pouzauges;Vendée;"Pays de la Loire";Nantes;06/06/2020;19/02/2026
AF.76854;"Arts : arts plastiques / Arts : cinéma-audiovisuel / Arts : musique / Arts : théâtre / Biotechnologies / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.846;0741476C;"Lycée polyvalent Jean Monnet";"1 place de Lattre de Tassigny, Vetraz - Monthoux";"BP 241";74106;Annemasse;Haute-Savoie;Auvergne-Rhône-Alpes;Grenoble;06/06/2020;08/02/2024
AF.53774;"Arts : arts plastiques / Arts : théâtre / Création et culture-design / Langues et cultures de l'Antiquité : latin / Management et gestion / Russe / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18669;0790080H;"Lycée polyvalent privé Saint-Joseph";"4 rue du Docteur Brillaud";"CS 60049";79301;Bressuire;Deux-Sèvres;Nouvelle-Aquitaine;Poitiers;06/06/2020;25/02/2025
AF.13480;"Arts : arts plastiques / Coréen / Italien / Chinois / Japonais / Éducation physique et sportive / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / LV1 : anglais / LV2 : espagnol, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12663;0440161L;"Lycée Saint-Joseph du Loquidy La Salle";"73 boulevard Michelet";"CS 32202";44322;Nantes;Loire-Atlantique;"Pays de la Loire";Nantes;06/06/2020;20/02/2024
AF.53724;"Arts : théâtre / Création et innovation technologiques / Espagnol / Italien / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences de l'ingénieur / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1620;0880153N;"Lycée des métiers du bois André Malraux";"13 rue de l'Epinette";"BP 20160";88200;Remiremont;Vosges;"Grand Est";Nancy-Metz;06/06/2020;06/06/2020
AF.71052;"Arts : musique / Arts : théâtre / Biotechnologies / Langue des signes française / Langues et cultures de l'Antiquité : latin / Santé et social / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13635;0022022M;"Lycée Sainte-Sophie";"22 rue Curie";;2110;Bohain-en-Vermandois;Aisne;Hauts-de-France;Amiens;06/06/2020;13/03/2023
AF.88406;"Arts : théâtre / Italien / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7666;0332722E;"Lycée Pape Clément";"1 rue Léo Lagrange";"BP 90";33605;Pessac;Gironde;Nouvelle-Aquitaine;Bordeaux;06/06/2020;04/04/2025
AF.79387;"Basque / Création et innovation technologiques / Sciences de l'ingénieur / LV1 : espagnol, anglais / LV2 : espagnol, anglais, basque";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19790;0640181Z;"Lycée polyvalent privé Saint-Joseph";"85 route des Missionnaires";;64240;Hasparren;Pyrénées-Atlantiques;Nouvelle-Aquitaine;Bordeaux;06/06/2020;06/06/2020
AF.85013;"Éducation physique et sportive / Langues et cultures de l'Antiquité : latin / LV1 : anglais / LV2 : allemand, espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19134;0442899M;"Lycée polyvalent Caroline Aigle";"Impasse Julie-Victoire Daubié";;44390;Nort-sur-Erdre;Loire-Atlantique;"Pays de la Loire";Nantes;06/06/2020;05/02/2024
AF.76611;"Arts : arts plastiques / Arts : cinéma-audiovisuel / Arts : théâtre / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences et laboratoire / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8775;0951399E;"Lycée Alfred Kastler";"26 avenue de la Palette";;95000;Cergy;Val-d'Oise;Ile-de-France;Versailles;06/06/2020;06/06/2020
AF.65615;"Corse / Écologie, agronomie, territoires, développement durable / Hippologie et équitation / LV1 : anglais / LV2 : italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13391;7200599N;"Lycée agricole Borgo-Marana";"650 route de Porettone, Borgo Marana";;20290;Borgo;Haute-Corse;Corse;Corse;06/06/2020;22/11/2024
AF.47876;"Éducation physique et sportive / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, portugais, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14932;0940113M;"Lycée polyvalent Langevin Wallon";"126 avenue Roger Salengro";;94500;Champigny-sur-Marne;Val-de-Marne;Ile-de-France;Créteil;06/06/2020;20/02/2026
