"Identifiant action de formation";"Enseignements de spécialité de classe de 1ère générale";"Identifiant et fiche onisep lieu de cours";"UAI lieu de cours";"Libellé lieu de cours";"Adresse lieu de cours";"Boîte postale lieu de cours";"Code postal lieu de cours";"Commune lieu de cours";"Département lieu de cours";"Région lieu de cours";"Académie lieu de cours";"AF date création";"AF date de modification"
AF.81096;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / langues, littératures et cultures étrangères et régionales";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4041;1300023U;"Lycée Comte de Foix";"Carrer Prada Motxilla 25, Principauté d'Andorre";"BP 129";99999;Andorre-la-Vella;Pyrénées-Orientales;Occitanie;Montpellier;06/06/2020;06/06/2020
AF.81097;"biologie-écologie / mathématiques / physique-chimie";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19779;0170087C;"Lycée agricole Georges Desclaude";"Rue Georges Desclaude";"BP 10549";17119;Saintes;Charente-Maritime;Nouvelle-Aquitaine;Poitiers;06/06/2020;06/06/2020
AF.81106;"sciences économiques et sociales / arts : arts plastiques / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / mathématiques / littérature et langues et cultures de l'Antiquité / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain / numérique et sciences informatiques";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14785;0130040Y;"Lycée Thiers";"5 place du Lycée";;13232;Marseille;Bouches-du-Rhône;"Provence-Alpes-Côte d'Azur";Aix-Marseille;06/06/2020;03/02/2025
AF.81116;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / langues, littératures et cultures étrangères et régionales";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8409;0781664K;"Lycée Sainte-Thérèse";"7 rue Beziel";;78120;Rambouillet;Yvelines;Ile-de-France;Versailles;06/06/2020;06/06/2020
AF.81124;"histoire-géographie, géopolitique et sciences politiques / humanités, littérature et philosophie / LLCER anglais - monde contemporain / mathématiques / physique-chimie / sciences de la vie et de la Terre / sciences économiques et sociales";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9271;0890067P;"Lycée polyvalent privé Saint-Étienne";"2 rue Louise et Léon Vernis";;89100;Sens;Yonne;Bourgogne-Franche-Comté;Dijon;06/06/2020;26/02/2021
AF.81134;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13280;0753946G;"Lycée privé Notre-Dame des Oiseaux";"12 rue Michel Ange";;75016;Paris;Paris;Ile-de-France;Paris;06/06/2020;02/03/2022
AF.81143;"sciences économiques et sociales / arts : arts plastiques / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3942;0410675L;"Lycée privé Notre-Dame des Aydes";"7 rue Franciade";;41000;Blois;Loir-et-Cher;"Centre-Val de Loire";Orléans-Tours;06/06/2020;28/04/2025
AF.81157;"histoire-géographie, géopolitique et sciences politiques / humanités, littérature et philosophie / LLCER anglais - monde contemporain / mathématiques / physique-chimie / sciences de la vie et de la Terre / sciences économiques et sociales / numérique et sciences informatiques";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9613;0211090W;"Lycée polyvalent privé Saint-Bénigne";"99 rue de Talant";;21000;Dijon;Côte-d'Or;Bourgogne-Franche-Comté;Dijon;06/06/2020;21/03/2025
AF.82973;"sciences économiques et sociales / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / langues, littératures et cultures étrangères et régionales / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18206;0932619S;"Lycée général privé Saint-Germain";"103 rue Sadi Carnot";;93700;Drancy;Seine-Saint-Denis;Ile-de-France;Créteil;06/06/2020;24/04/2024
AF.86410;"humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / sciences économiques et sociales / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8734;0631075B;"Lycée général et technologique privé Saint-Alyre";"20 rue Sainte-George";;63037;Clermont-Ferrand;Puy-de-Dôme;Auvergne-Rhône-Alpes;Clermont-Ferrand;06/06/2020;03/11/2022
AF.86560;"numérique et sciences informatiques / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / humanités, littérature et philosophie / LLCER anglais / LLCER anglais - monde contemporain / mathématiques / physique-chimie / sciences de la vie et de la Terre / sciences économiques et sociales";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8261;0290164W;"Lycée Notre-Dame du Mur";"19 rue du Poulfanc";"CS 57821";29678;Morlaix;Finistère;Bretagne;Rennes;06/06/2020;10/07/2025
AF.86582;"sciences économiques et sociales / arts : arts plastiques / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1316;0740046Y;"Lycée général et technologique de la Versoie";"12 avenue du Forchat";"BP 515";74203;Thonon-les-Bains;Haute-Savoie;Auvergne-Rhône-Alpes;Grenoble;06/06/2020;29/01/2024
